Word,Value,Phrase,Year,MatchCount,VolumeCount
Austel,3,Autoloading,2004,23,11
Auswanderung,39,Autoloading,2004,23,11
Autoloading,21,Autoloading,2004,23,11
Austel,3,Autoloading,2005,126,15
Auswanderung,39,Autoloading,2005,126,15
Autoloading,21,Autoloading,2005,126,15
Austel,3,Autoloading,2006,30,14
Auswanderung,39,Autoloading,2006,30,14
Autoloading,21,Autoloading,2006,30,14
Austel,3,Autoloading,2007,72,17
Auswanderung,39,Autoloading,2007,72,17
Autoloading,21,Autoloading,2007,72,17
Austel,3,Autoloading,2008,53,14
Auswanderung,39,Autoloading,2008,53,14
Autoloading,21,Autoloading,2008,53,14
Austel,3,Autolysis,1817,1,1
Auswanderung,39,Autolysis,1817,1,1
Autoloading,21,Autolysis,1817,1,1
Austel,3,Autolysis,1826,2,2
Auswanderung,39,Autolysis,1826,2,2
Autoloading,21,Autolysis,1826,2,2
Austel,3,Autolysis,1834,1,1
Auswanderung,39,Autolysis,1834,1,1
Autoloading,21,Autolysis,1834,1,1
Austel,3,Autolysis,1858,1,1
Auswanderung,39,Autolysis,1858,1,1
Autoloading,21,Autolysis,1858,1,1
Austel,3,Autolysis,1865,1,1
Auswanderung,39,Autolysis,1865,1,1
Autoloading,21,Autolysis,1865,1,1
